Chr,Start,End,Symbol,Strand,TPM,,Gene_ID,Type,N_alu,N_events,Ed_Pri,Ed_Mat
chr3,189349178,189615065,TP63,+,78.039,V,ENSG00000073282,protein_coding,28,8,0.234,0.0
chr2,98372796,98612411,TMEM131,-,14.464,V,ENSG00000075568,protein_coding,39,8,0.397,0.0
chr16,27324989,27376099,IL4R,+,114.956,V,ENSG00000077238,protein_coding,21,8,0.124,0.0
chrX,118533299,118588441,SLC25A43,+,41.211,V,ENSG00000077713,protein_coding,27,8,0.162,0.0
chr12,125549980,125627879,AACS,+,22.747,V,ENSG00000081760,protein_coding,30,8,0.169,0.0
chr5,141303420,141321612,DELE1,+,30.294,V,ENSG00000081791,protein_coding,5,8,0.257,0.0
chr14,50704281,50778947,L2HGDH,-,5.595,V,ENSG00000087299,protein_coding,43,8,0.194,0.0
chr12,112280032,112340026,MAPKAPK5,+,5.696,V,ENSG00000089022,protein_coding,27,8,0.217,0.0
chr11,118443105,118473748,ARCN1,+,88.994,V,ENSG00000095139,protein_coding,21,8,0.184,0.0
chr9,123577774,123605229,PSMD5,-,21.803,V,ENSG00000095261,protein_coding,14,8,0.141,0.0
chr19,14627897,14676792,TECR,+,135.469,V,ENSG00000099797,protein_coding,42,8,0.182,0.0
chr22,29655861,29664198,RHBDD3,-,15.368,V,ENSG00000100263,protein_coding,3,8,0.252,0.0
chr22,39516172,39548685,CBX7,-,12.218,V,ENSG00000100307,protein_coding,12,8,0.135,0.0
chr14,102807439,102829253,CINP,-,9.081,V,ENSG00000100865,protein_coding,14,8,0.207,0.0
chr14,24583404,24594451,DCAF11,+,38.962,V,ENSG00000100897,protein_coding,3,8,0.097,0.0
chr20,35518176,35580304,SAMHD1,-,14.339,V,ENSG00000101347,protein_coding,40,8,0.041,0.0
chr20,37554955,37581749,FAM83D,+,114.08,V,ENSG00000101447,protein_coding,14,8,0.24,0.0
chrX,153639860,153650065,TAZ,+,19.634,V,ENSG00000102125,protein_coding,3,8,0.208,0.0
chr16,903634,1031318,LMF1,-,5.498,V,ENSG00000103227,protein_coding,21,8,0.329,0.0
chr16,14726788,14763093,BFAR,+,14.723,V,ENSG00000103429,protein_coding,30,8,0.046,0.0
chr8,82613569,82645138,ZFAND1,-,13.735,V,ENSG00000104231,protein_coding,4,8,0.255,0.0
chr7,102220093,102257204,RASA4,-,0.49,V,ENSG00000105808,protein_coding,19,8,0.353,0.0
chr7,99014362,99063786,PTCD1,-,2.204,V,ENSG00000106246,protein_coding,30,8,0.277,0.0
chr9,32455300,32526206,DDX58,-,12.931,V,ENSG00000107201,protein_coding,17,8,0.223,0.0
chr17,72744767,72765492,SLC9A3R1,+,439.848,V,ENSG00000109062,protein_coding,7,8,0.204,0.0
chr11,63706431,63724791,NAA40,+,16.428,V,ENSG00000110583,protein_coding,11,8,0.067,0.0
chr12,51373184,51422349,SLC11A2,-,31.392,V,ENSG00000110911,protein_coding,26,8,0.301,0.0
chr6,138409642,138428556,PERP,-,1283.087,V,ENSG00000112378,protein_coding,1,8,0.141,0.0
chr5,44809049,44820530,MRPS30,+,11.964,V,ENSG00000112996,protein_coding,2,8,0.147,0.0
chr5,145826874,145891524,TCERG1,+,22.317,V,ENSG00000113649,protein_coding,17,8,0.149,0.0
chr3,138213186,138313380,CEP70,-,9.806,V,ENSG00000114107,protein_coding,29,8,0.244,0.0
chr1,26758773,26797797,DHDDS,+,19.73,V,ENSG00000117682,protein_coding,30,8,0.433,0.0
chr2,38521096,38604427,ATL2,-,32.56,V,ENSG00000119787,protein_coding,32,8,0.201,0.0
chr12,99038919,99129211,APAF1,+,4.92,V,ENSG00000120868,protein_coding,38,8,0.086,0.0
chr1,93297570,93307481,RPL5,+,471.13,V,ENSG00000122406,protein_coding,1,8,0.15,0.0
chr10,13141449,13180308,OPTN,+,41.644,V,ENSG00000123240,protein_coding,18,8,0.118,0.0
chr12,56211825,56215663,ORMDL2,+,29.444,V,ENSG00000123353,protein_coding,0,8,0.036,0.0
chr12,54515061,54582792,SMUG1,-,11.009,V,ENSG00000123415,protein_coding,16,8,0.224,0.0
chr20,814358,838106,FAM110A,+,42.982,V,ENSG00000125898,protein_coding,4,8,0.319,0.0
chr14,45672393,45722743,MIS18BP1,-,8.019,V,ENSG00000129534,protein_coding,16,8,0.337,0.0
chr6,107349403,107372790,C6orf203,+,10.923,V,ENSG00000130349,protein_coding,15,8,0.348,0.0
chr20,60806978,60871269,OSBPL2,+,32.901,V,ENSG00000130703,protein_coding,22,8,0.57,0.0
chr17,40925467,40931617,VPS25,+,62.328,V,ENSG00000131475,protein_coding,3,8,0.253,0.0
chr10,11784365,11806069,ECHDC3,+,68.204,V,ENSG00000134463,protein_coding,6,8,0.099,0.0
chr1,31404353,31538838,PUM1,-,34.529,V,ENSG00000134644,protein_coding,70,8,0.405,0.0
chr11,125461607,125495110,STT3A,+,30.386,V,ENSG00000134910,protein_coding,16,8,0.223,0.0
chr7,115850560,115898837,TES,+,36.766,V,ENSG00000135269,protein_coding,1,8,0.012,0.0
chr7,6485584,6523821,KDELR2,-,76.402,V,ENSG00000136240,protein_coding,29,8,0.304,0.0
chr10,27399041,27444195,YME1L1,-,45.687,V,ENSG00000136758,protein_coding,24,8,0.035,0.0
chr9,132565436,132573560,TOR1B,+,17.028,V,ENSG00000136816,protein_coding,6,8,0.204,0.0
chr17,7565097,7590868,TP53,-,25.719,V,ENSG00000141510,protein_coding,24,8,0.111,0.0
chr18,77730813,77793949,TXNL4A,-,17.758,V,ENSG00000141759,protein_coding,18,8,0.286,0.0
chr1,67873493,67896098,SERBP1,-,95.303,V,ENSG00000142864,protein_coding,6,8,0.274,0.0
chr2,96931870,96939087,CIAO1,+,36.839,V,ENSG00000144021,protein_coding,2,8,0.136,0.0
chr2,176788610,176867567,LNPK,-,10.066,V,ENSG00000144320,protein_coding,16,8,0.19,0.0
chr3,49449639,49453908,TCTA,+,21.585,V,ENSG00000145022,protein_coding,2,8,0.043,0.0
chr4,152020776,152025794,RPS3A,+,530.06,V,ENSG00000145425,protein_coding,1,8,0.069,0.0
chr6,88223656,88299705,RARS2,-,23.864,V,ENSG00000146282,protein_coding,26,8,0.194,0.0
chr7,56119378,56131682,CCT6A,+,86.284,V,ENSG00000146731,protein_coding,4,8,0.438,0.0
chrX,71549366,71792951,HDAC8,-,1.261,V,ENSG00000147099,protein_coding,46,8,0.264,0.0
chr11,61567097,61596790,FADS1,-,2.915,V,ENSG00000149485,protein_coding,11,8,0.128,0.0
chr11,77779343,77790908,NDUFC2,-,17.248,V,ENSG00000151366,protein_coding,3,8,0.138,0.0
chr2,224616403,224702744,AP1S3,-,2.122,V,ENSG00000152056,protein_coding,53,8,0.125,0.0
chr15,83478380,83504860,WHAMM,+,13.4,V,ENSG00000156232,protein_coding,14,8,0.116,0.0
chr1,39351479,39407502,RHBDL2,-,28.599,V,ENSG00000158315,protein_coding,45,8,0.246,0.0
chr16,89786808,89807333,ZNF276,+,20.745,V,ENSG00000158805,protein_coding,14,8,0.168,0.0
chr1,151843342,151882113,THEM4,-,4.019,V,ENSG00000159445,protein_coding,14,8,0.201,0.0
chr1,55271736,55307925,LEXM,+,46.972,V,ENSG00000162398,protein_coding,9,8,0.263,0.0
chr1,223889295,223963720,CAPN2,+,170.763,V,ENSG00000162909,protein_coding,17,8,0.026,0.0
chr2,200793636,200820459,TYW5,-,3.26,V,ENSG00000162971,protein_coding,10,8,0.308,0.0
chr4,47916159,48042190,NIPAL1,+,21,V,ENSG00000163293,protein_coding,29,8,0.277,0.0
chr17,74553846,74561430,SNHG16,+,9.541,V,ENSG00000163597,lncRNA,1,8,0.14,0.0
chr3,9691117,9744077,MTMR14,+,14.19,V,ENSG00000163719,protein_coding,18,8,0.304,0.0
chr3,122283185,122294050,DTX3L,+,27.091,V,ENSG00000163840,protein_coding,5,8,0.111,0.0
chr3,196195654,196230639,RNF168,-,15.577,V,ENSG00000163961,protein_coding,25,8,0.279,0.0
chr4,7967037,8160559,ABLIM2,-,23.586,V,ENSG00000163995,protein_coding,36,8,0.38,0.0
chr4,120217574,120225600,C4orf3,-,203.265,V,ENSG00000164096,protein_coding,5,8,0.025,0.0
chr9,15422702,15465951,SNAPC3,+,16.778,V,ENSG00000164975,protein_coding,16,8,0.18,0.0
chr15,65204101,65251033,ANKDD1A,+,2.42,V,ENSG00000166839,protein_coding,17,8,0.258,0.0
chr17,4046462,4090605,CYB5D2,+,15.002,V,ENSG00000167740,protein_coding,13,8,0.169,0.0
chr17,74000583,74023533,EVPL,-,390.425,V,ENSG00000167880,protein_coding,10,8,0.053,0.0
chr11,63580928,63595188,SPINDOC,+,9.961,V,ENSG00000168005,protein_coding,8,8,0.283,0.0
chr16,28985542,28995869,SPNS1,+,1.443,V,ENSG00000169682,protein_coding,2,8,0.251,0.0
chr1,179809102,179846938,TOR1AIP2,-,7.788,V,ENSG00000169905,protein_coding,15,8,0.083,0.0
chr17,65821619,65980494,BPTF,+,13.429,V,ENSG00000171634,protein_coding,96,8,0.194,0.0
chr11,65421068,65430561,RELA,-,56.134,V,ENSG00000173039,protein_coding,0,8,0.295,0.0
chr4,84213614,84256306,HPSE,-,10.843,V,ENSG00000173083,protein_coding,21,8,0.205,0.0
chr2,85198216,85286595,KCMF1,+,22.667,V,ENSG00000176407,protein_coding,48,8,0.233,0.0
chr1,11796141,11814859,AGTRAP,+,45.983,V,ENSG00000177674,protein_coding,3,8,0.377,0.0
chr17,8150936,8173809,PFAS,+,10.24,V,ENSG00000178921,protein_coding,10,8,0.099,0.0
chr15,74922899,74988633,EDC3,-,15.327,V,ENSG00000179151,protein_coding,31,8,0.263,0.0
chr22,28247657,28316122,PITPNB,-,11.973,V,ENSG00000180957,protein_coding,17,8,0.267,0.0
chr19,48958766,48970237,KCNJ14,+,1.22,V,ENSG00000182324,protein_coding,9,8,0.28,0.0
chr22,31608225,31676066,LIMK2,+,61.12,V,ENSG00000182541,protein_coding,31,8,0.216,0.0
chr1,39957308,39995541,BMP8A,+,3.35,V,ENSG00000183682,protein_coding,13,8,0.187,0.0
chr17,79650356,79670168,HGS,+,44.853,V,ENSG00000185359,protein_coding,4,8,0.276,0.0
chr14,74424713,74486102,ENTPD5,-,8.374,V,ENSG00000187097,protein_coding,50,8,0.106,0.0
chr8,124232207,124253617,C8orf76,-,4.962,V,ENSG00000189376,protein_coding,13,8,0.235,0.0
chr7,64330550,64391344,AC092161.1,+,8.352,V,ENSG00000198039,protein_coding,22,8,0.228,0.0
chr9,140509784,140513358,ARRDC1-AS1,-,9.035,V,ENSG00000203993,lncRNA,1,8,0.186,0.0
chr2,68686554,68694426,FBXO48,-,2.4,V,ENSG00000204923,protein_coding,1,8,0.213,0.0
chr17,54869274,54916134,C17orf67,-,2.211,V,ENSG00000214226,protein_coding,9,8,0.282,0.0
chr17,28903482,28999807,AC005562.1,+,0.365,V,ENSG00000214719,lncRNA,53,8,0.174,0.0
chr17,15879874,15903031,ZSWIM7,-,11.413,V,ENSG00000214941,protein_coding,22,8,0.185,0.0
chr7,66119525,66136510,AC006001.2,+,4.547,V,ENSG00000226824,lncRNA,17,8,0.271,0.0
chr10,75007118,75036742,DNAJC9-AS1,+,0.054,V,ENSG00000236756,lncRNA,14,8,0.019,0.0
chr7,56019570,56024193,MRPS17,+,6.176,V,ENSG00000239789,protein_coding,3,8,0.113,0.0
chr3,42850975,42984284,KRBOX1,+,0.27,V,ENSG00000240747,protein_coding,20,8,0.139,0.0
chr3,119813742,119855630,AC092910.3,+,3.361,V,ENSG00000242622,lncRNA,15,8,0.24,0.0
chr5,180257326,180266742,LINC00847,+,2.304,V,ENSG00000245060,lncRNA,3,8,0.161,0.0
chr7,99017372,99063820,ATP5MF-PTCD1,-,0.062,V,ENSG00000248919,protein_coding,29,8,0.277,0.0
chr4,124383,196092,ZNF718,+,1.037,V,ENSG00000250312,protein_coding,10,8,0.194,0.0
chr8,124238429,124286524,ZHX1-C8orf76,-,0.533,V,ENSG00000259305,protein_coding,22,8,0.168,0.0
chr16,28986125,29002096,AC109460.3,+,0.883,V,ENSG00000261067,lncRNA,3,8,0.251,0.0
chr15,41128006,41136585,SPINT1-AS1,-,21.863,V,ENSG00000261183,lncRNA,2,8,0.32,0.0
chr16,56974190,56975254,AC012181.2,+,2.202,V,ENSG00000261270,lncRNA,2,8,0.327,0.0
chr16,89778264,89784573,VPS9D1-AS1,+,16.66,V,ENSG00000261373,lncRNA,5,8,0.172,0.0
chr15,42789592,42825038,AC018362.1,-,0.208,V,ENSG00000261684,lncRNA,23,8,0.027,0.0
chr16,15820531,15826850,AF001548.2,+,5.066,V,ENSG00000263335,lncRNA,6,8,0.231,0.0
chr17,7476144,7485342,AC016876.2,+,0.252,V,ENSG00000264772,lncRNA,2,8,0.131,0.0
chr10,51565108,51590734,NCOA4,+,131.799,V,ENSG00000266412,protein_coding,4,8,0.005,0.0
chr3,53003135,53133469,AC096887.1,-,0.802,V,ENSG00000272305,protein_coding,58,8,0.204,0.0
chr3,42850938,43097363,AC092042.3,+,0.373,V,ENSG00000273291,protein_coding,33,8,0.139,0.0
chr16,53069602,53086785,AC007906.2,-,4.716,V,ENSG00000277639,protein_coding,3,8,0.168,0.0
chr16,29924465,29926658,AC120114.3,-,4.826,V,ENSG00000279789,TEC,0,8,0.318,0.0
chr7,102202580,102213030,POLR2J3,-,0.589,V,ENSG00000285437,protein_coding,10,8,0.256,0.0
chr10,85926984,85931849,CERNA2,-,37.525,V,ENSG00000285972,lncRNA,0,8,0.025,0.0
chr7,91875288,92030697,ANKIB1,+,13.422,V,ENSG00000001629,protein_coding,45,7,0.255,0.0
chr8,17354597,17428082,SLC7A2,+,21.14,V,ENSG00000003989,protein_coding,16,7,0.389,0.0
chr12,6419602,6437672,PLEKHG6,+,30.385,V,ENSG00000008323,protein_coding,1,7,0.394,0.0
chr1,19578299,19586622,MRTO4,+,29.446,V,ENSG00000053372,protein_coding,5,7,0.188,0.0
chr19,1040100,1065571,ABCA7,+,24.919,V,ENSG00000064687,protein_coding,10,7,0.232,0.0
chr7,39989720,40139179,CDK13,+,7.853,V,ENSG00000065883,protein_coding,66,7,0.31,0.0
chr15,100105622,100256671,MEF2A,+,17.481,V,ENSG00000068305,protein_coding,25,7,0.256,0.0
chr12,9817565,9852149,CLEC2D,+,2.664,V,ENSG00000069493,protein_coding,6,7,0.416,0.0
chr3,185000729,185206882,MAP3K13,+,6.566,V,ENSG00000073803,protein_coding,62,7,0.143,0.0
chr11,85668218,85780924,PICALM,-,84.255,V,ENSG00000073921,protein_coding,43,7,0.594,0.0
chr2,61704984,61765761,XPO1,-,26.58,V,ENSG00000082898,protein_coding,63,7,0.238,0.0
chr5,68646811,68665840,AK6,-,12.287,V,ENSG00000085231,protein_coding,10,7,0.214,0.0
chr11,70244510,70282690,CTTN,+,136.928,V,ENSG00000085733,protein_coding,11,7,0.201,0.0
chr2,55463731,55496483,MTIF2,-,23.562,V,ENSG00000085760,protein_coding,21,7,0.285,0.0
chr5,61643111,61699766,DIMT1,-,12.732,V,ENSG00000086189,protein_coding,28,7,0.299,0.0
chr11,111652919,111742305,ALG9,-,2.285,V,ENSG00000086848,protein_coding,26,7,0.261,0.0
chr20,5986736,6020699,CRLS1,+,1.101,V,ENSG00000088766,protein_coding,15,7,0.142,0.0
chr19,39903309,39919055,PLEKHG2,+,12.321,V,ENSG00000090924,protein_coding,12,7,0.302,0.0
chr14,31569318,31677010,HECTD1,-,55.756,V,ENSG00000092148,protein_coding,75,7,0.248,0.0
chr10,28821422,28912041,WAC,+,24.071,V,ENSG00000095787,protein_coding,30,7,0.224,0.0
chr16,1832933,1839187,NUBP2,+,21.599,V,ENSG00000095906,protein_coding,2,7,0.174,0.0
chr14,67761088,67826982,ATP6V1D,-,50.422,V,ENSG00000100554,protein_coding,33,7,0.056,0.0
chr14,58711561,58738730,PSMA3,+,51.515,V,ENSG00000100567,protein_coding,20,7,0.031,0.0
chr14,77972340,78083116,SPTLC2,-,33.217,V,ENSG00000100596,protein_coding,60,7,0.216,0.0
chr18,9913999,9960018,VAPA,+,32.04,V,ENSG00000101558,protein_coding,7,7,0.002,0.0
chr15,44854894,44955876,SPG11,-,19.883,V,ENSG00000104133,protein_coding,63,7,0.134,0.0
chr15,45879321,45908197,BLOC1S6,+,10.945,V,ENSG00000104164,protein_coding,14,7,0.194,0.0
chr19,15225795,15236597,ILVBL,-,38.885,V,ENSG00000105135,protein_coding,3,7,0.224,0.0
chr19,47278140,47291851,SLC1A5,-,86.089,V,ENSG00000105281,protein_coding,6,7,0.244,0.0
chr19,55896713,55914618,RPL28,+,246.311,V,ENSG00000108107,protein_coding,9,7,0.22,0.0
chr11,10533220,10562777,RNF141,-,42.995,V,ENSG00000110315,protein_coding,2,7,0.054,0.0
chr12,112123860,112194911,ACAD10,+,9.306,V,ENSG00000111271,protein_coding,48,7,0.424,0.0
chr12,124086624,124105490,DDX55,+,9.787,V,ENSG00000111364,protein_coding,11,7,0.215,0.0
chr12,75884643,75905416,KRR1,-,6.223,V,ENSG00000111615,protein_coding,2,7,0.34,0.0
chr2,61414598,61697904,USP34,-,10.009,V,ENSG00000115464,protein_coding,142,7,0.127,0.0
chr2,62095220,62115806,CCT4,-,95.682,V,ENSG00000115484,protein_coding,16,7,0.296,0.0
chr2,219502639,219524378,ZNF142,-,10.786,V,ENSG00000115568,protein_coding,12,7,0.271,0.0
chr1,36921319,36929985,MRPS15,-,38.862,V,ENSG00000116898,protein_coding,2,7,0.164,0.0
chr12,59989810,60183636,SLC16A7,+,8.248,V,ENSG00000118596,protein_coding,14,7,0.334,0.0
chr6,160199530,160210735,TCP1,-,70.598,V,ENSG00000120438,protein_coding,3,7,0.003,0.0
chr1,86812507,86862025,ODF2L,-,6.437,V,ENSG00000122417,protein_coding,8,7,0.112,0.0
chr1,92764616,92867613,RPAP2,+,2.784,V,ENSG00000122484,protein_coding,27,7,0.236,0.0
chr8,87354967,87490649,WWP1,+,19.106,V,ENSG00000123124,protein_coding,38,7,0.024,0.0
chr20,388142,411610,RBCK1,+,68.916,V,ENSG00000125826,protein_coding,13,7,0.289,0.0
chr20,30780307,30795546,PLAGL2,-,22.074,V,ENSG00000126003,protein_coding,5,7,0.343,0.0
chr17,30469473,30580393,RHOT1,+,11.672,V,ENSG00000126858,protein_coding,72,7,0.26,0.0
chr16,85203131,85709810,GSE1,+,17.606,V,ENSG00000131149,protein_coding,89,7,0.151,0.0
chrX,77154937,77162873,COX7B,+,77.266,V,ENSG00000131174,protein_coding,5,7,0.229,0.0
chr5,138906016,139008019,UBE2D2,+,59.501,V,ENSG00000131508,protein_coding,99,7,0.2,0.0
chr1,145516372,145523730,PEX11B,+,51.153,V,ENSG00000131779,protein_coding,1,7,0.211,0.0
chr11,5684787,5959849,TRIM5,-,9.606,V,ENSG00000132256,protein_coding,32,7,0.217,0.0
chr17,27206353,27224751,FLOT2,-,127.822,V,ENSG00000132589,protein_coding,6,7,0.259,0.0
chr11,65101323,65121733,DPF2,+,13.445,V,ENSG00000133884,protein_coding,9,7,0.242,0.0
chr14,76116134,76127532,ERG28,-,82.57,V,ENSG00000133935,protein_coding,3,7,0.199,0.0
chr14,92047040,92247051,CATSPERB,-,0.579,V,ENSG00000133962,protein_coding,54,7,0.167,0.0
chr7,105172616,105208124,RINT1,+,14.578,V,ENSG00000135249,protein_coding,25,7,0.282,0.0
chr1,150039336,150117507,VPS45,+,15.275,V,ENSG00000136631,protein_coding,34,7,0.297,0.0
chr9,100395950,100436030,NCBP1,+,17.82,V,ENSG00000136937,protein_coding,8,7,0.284,0.0
chr15,69745153,69748544,RPLP1,+,923.279,V,ENSG00000137818,protein_coding,1,7,0.001,0.0
chr12,109991520,110011385,MMAB,-,20.042,V,ENSG00000139428,protein_coding,8,7,0.26,0.0
chr19,41856816,41889988,TMEM91,+,9.721,V,ENSG00000142046,protein_coding,25,7,0.263,0.0
chr1,155867599,155881195,RIT1,-,35.901,V,ENSG00000143622,protein_coding,15,7,0.21,0.0
chr1,226170403,226187044,SDE2,-,13.477,V,ENSG00000143751,protein_coding,6,7,0.053,0.0
chr3,187871072,188608460,LPP,+,15.176,V,ENSG00000145012,protein_coding,106,7,0.287,0.0
chr3,183852826,183863915,EIF2B5,+,30.281,V,ENSG00000145191,protein_coding,5,7,0.193,0.0
chr5,70751478,70863647,BDP1,+,7.422,V,ENSG00000145734,protein_coding,72,7,0.248,0.0
chr5,118604387,118735383,TNFAIP8,+,10.404,V,ENSG00000145779,protein_coding,28,7,0.267,0.0
chr5,158584417,158637061,RNF145,-,88.941,V,ENSG00000145860,protein_coding,8,7,0.245,0.0
chr7,76239303,76256578,POMZP3,-,13.275,V,ENSG00000146707,protein_coding,14,7,0.122,0.0
chr8,38120648,38126761,PLPP5,-,17.423,V,ENSG00000147535,protein_coding,1,7,0.214,0.0
chr11,118124131,118135251,MPZL2,-,395.916,V,ENSG00000149573,protein_coding,2,7,0.003,0.0
chr8,130851839,131029375,FAM49B,-,12.222,V,ENSG00000153310,protein_coding,71,7,0.183,0.0
chr5,125695824,125832186,GRAMD2B,+,8.123,V,ENSG00000155324,protein_coding,28,7,0.241,0.0
chr10,70939990,70968855,SUPV3L1,+,12.469,V,ENSG00000156502,protein_coding,13,7,0.344,0.0
chr16,66836778,66907159,NAE1,-,16.32,V,ENSG00000159593,protein_coding,37,7,0.24,0.0
chr1,1477053,1510243,SSU72,-,37.403,V,ENSG00000160075,protein_coding,23,7,0.071,0.0
chr21,47720095,47743789,C21orf58,-,5.545,V,ENSG00000160298,protein_coding,16,7,0.151,0.0
chr1,154934774,154946871,SHC1,-,50.112,V,ENSG00000160691,protein_coding,3,7,0.115,0.0
chr3,9958758,9975314,IL17RC,+,31.251,V,ENSG00000163702,protein_coding,11,7,0.511,0.0
chr8,100885428,100905935,COX6C,-,71.218,V,ENSG00000164919,protein_coding,8,7,0.326,0.0
chr11,126071991,126081587,RPUSD4,-,15.459,V,ENSG00000165526,protein_coding,1,7,0.302,0.0
chr2,234600253,234681946,UGT1A6,+,1.574,V,ENSG00000167165,protein_coding,7,7,0.176,0.0
chr19,51525472,51531295,KLK11,-,294.263,V,ENSG00000167757,protein_coding,2,7,0.016,0.0
chr11,61717535,61732987,BEST1,+,0.559,V,ENSG00000167995,protein_coding,9,7,0.004,0.0
chr20,44509866,44513905,ZSWIM1,+,9.623,V,ENSG00000168612,protein_coding,0,7,0.182,0.0
chr17,7788124,7816078,CHD3,+,56.233,V,ENSG00000170004,protein_coding,8,7,0.158,0.0
chr4,57514154,57548065,HOPX,-,112.474,V,ENSG00000171476,protein_coding,7,7,0.231,0.0
chr12,14518566,14655869,ATF7IP,+,15.287,V,ENSG00000171681,protein_coding,34,7,0.082,0.0
chr19,2071035,2096672,MOB3A,-,28.716,V,ENSG00000172081,protein_coding,23,7,0.102,0.0
chr16,66968347,66978999,CES2,+,91.586,V,ENSG00000172831,protein_coding,4,7,0.004,0.0
chr11,66824318,66839488,RHOD,+,107.517,V,ENSG00000173156,protein_coding,10,7,0.271,0.0
chr12,110718561,110788898,ATP2A2,+,106.753,V,ENSG00000174437,protein_coding,44,7,0.322,0.0
chr12,117348755,117468953,FBXW8,+,7.572,V,ENSG00000174989,protein_coding,21,7,0.243,0.0
chr3,176737128,176945788,TBL1XR1,-,19.003,V,ENSG00000177565,protein_coding,76,7,0.309,0.0
chr19,48281842,48287943,SELENOW,+,43.68,V,ENSG00000178980,protein_coding,3,7,0.155,0.0
chr10,71962591,71993667,PPA1,-,68.899,V,ENSG00000180817,protein_coding,14,7,0.191,0.0
chr1,26187701,26197744,PAQR7,-,25.905,V,ENSG00000182749,protein_coding,6,7,0.266,0.0
chr3,42947223,42959133,ZNF662,+,6.213,V,ENSG00000182983,protein_coding,0,7,0.136,0.0
chr21,42676139,42729358,FAM3B,+,57.417,V,ENSG00000183844,protein_coding,5,7,0.24,0.0
chrX,3522411,3631649,PRKX,-,34.53,V,ENSG00000183943,protein_coding,58,7,0.334,0.0
chr12,123868320,123893900,KMT5A,+,42.053,V,ENSG00000183955,protein_coding,13,7,0.352,0.0
chr11,417933,442011,ANO9,-,29.539,V,ENSG00000185101,protein_coding,9,7,0.294,0.0
chr17,30334891,30380523,LRRC37B,+,3.947,V,ENSG00000185158,protein_coding,23,7,0.438,0.0
chr17,4067115,4167290,ANKFY1,-,13.814,V,ENSG00000185722,protein_coding,50,7,0.316,0.0
chr17,41322498,41363708,NBR1,+,33.404,V,ENSG00000188554,protein_coding,28,7,0.354,0.0
chr19,42932440,42947200,CXCL17,-,461.353,V,ENSG00000189377,protein_coding,8,7,0.253,0.0
chr2,160092304,160143310,WDSUB1,-,12.522,V,ENSG00000196151,protein_coding,22,7,0.329,0.0
chr17,3468738,3512705,TRPV1,-,2.83,V,ENSG00000196689,protein_coding,26,7,0.039,0.0
chr17,3511556,3539616,SHPK,-,4.23,V,ENSG00000197417,protein_coding,18,7,0.039,0.0
chr17,41277568,41305688,NBR2,+,5.992,V,ENSG00000198496,lncRNA,18,7,0.106,0.0
chr6,86360209,86388650,SNHG5,-,22.798,V,ENSG00000203875,lncRNA,13,7,0.179,0.0
chr19,1905398,1913446,ADAT3,+,8.76,V,ENSG00000213638,protein_coding,6,7,0.202,0.0
chr15,42565431,42649133,GANC,+,8.965,V,ENSG00000214013,protein_coding,29,7,0.255,0.0
chr12,6548167,6560733,CD27-AS1,-,10.174,V,ENSG00000215039,lncRNA,6,7,0.076,0.0
chr13,50530806,50699856,DLEU2,-,1.091,V,ENSG00000231607,lncRNA,62,7,0.421,0.0
chr1,201964824,201979591,ELF3-AS1,-,5.292,V,ENSG00000234678,lncRNA,6,7,0.252,0.0
chr11,5275622,5699664,AC104389.4,-,0.084,V,ENSG00000239920,protein_coding,52,7,0.217,0.0
chr2,234580544,234681946,UGT1A9,+,0.223,V,ENSG00000241119,protein_coding,8,7,0.176,0.0
chr7,99046098,99063954,ATP5MF,-,59.999,V,ENSG00000241468,protein_coding,10,7,0.288,0.0
chr2,234668894,234681945,UGT1A1,+,4.227,V,ENSG00000241635,protein_coding,2,7,0.176,0.0
chr10,75434053,75490224,AC022400.3,-,0.023,V,ENSG00000242288,lncRNA,15,7,0.27,0.0
chr2,234526291,234681956,UGT1A8,+,0.806,V,ENSG00000242366,protein_coding,14,7,0.176,0.0
chr2,234545100,234681951,UGT1A10,+,7.574,V,ENSG00000242515,protein_coding,14,7,0.176,0.0
chr2,234627424,234681945,UGT1A4,+,0.07,V,ENSG00000244474,protein_coding,5,7,0.176,0.0
chr12,120925882,120933749,NRAV,-,9.532,V,ENSG00000248008,lncRNA,3,7,0.306,0.0
chr1,177897923,178007142,CRYZL2P-SEC16B,-,0.293,V,ENSG00000254154,lncRNA,19,7,0.204,0.0
chr12,53406668,53448234,AC068888.1,-,1.755,V,ENSG00000257337,lncRNA,20,7,0.004,0.0
chr16,69360816,69364491,PDF,-,1.512,V,ENSG00000258429,protein_coding,1,7,0.153,0.0
chr15,42640301,42704515,AC012651.1,+,5.215,V,ENSG00000258461,protein_coding,19,7,0.255,0.0
chr14,92219200,92226142,AL121839.2,-,2.211,V,ENSG00000260711,lncRNA,1,7,0.167,0.0
chr16,66976615,66997159,AC009084.1,+,0.557,V,ENSG00000265408,lncRNA,17,7,0.004,0.0
chr7,76589152,76673092,DTX2P1-UPK3BP1-PMS2P11,+,2.2,V,ENSG00000265479,lncRNA,49,7,0.267,0.0
chr17,58156670,58166056,AC025048.4,+,4.544,V,ENSG00000267416,lncRNA,2,7,0.021,0.0
chr19,16750778,16751479,AC024075.1,-,6.464,V,ENSG00000267904,lncRNA,1,7,0.182,0.0
chr2,61698323,61711265,AC016727.1,+,2.088,V,ENSG00000270820,lncRNA,13,7,0.28,0.0
